tid,label,status,reason,n_transits_seen,period,epoch_tess,duration_h,duration_s,processed_at
9804616,0,ok,,50,0.5168347,1411.0658709998245,0.936413,0.54,2026-05-28T17:21:47+00:00
9830791,0,ok,,8,3.5414573,1835.348947000224,2.83,0.55,2026-05-28T17:21:47+00:00
9837861,0,no_global_pt,no existe data\processed\global/9837861.pt,0,,,,0.0,2026-05-28T17:21:47+00:00
9989136,1,ok,,5,6.1841688,1848.6851400001904,2.5898497,0.48,2026-05-28T17:21:48+00:00
10552342,0,no_global_pt,no existe data\processed\global/10552342.pt,0,,,,0.0,2026-05-28T17:21:48+00:00
10837041,1,ok,,35,0.7827075,3987.464436000213,1.0403706,0.5,2026-05-28T17:21:48+00:00
11111899,0,ok,,44,0.6193401,3557.800973000005,1.514,0.5,2026-05-28T17:21:49+00:00
11561667,1,ok,,9,3.0876297,1543.86853899993,2.2386246,0.51,2026-05-28T17:21:49+00:00
11996814,0,ok,,59,0.4487349,1790.8494350002147,2.8757897,0.47,2026-05-28T17:21:50+00:00
12036590,0,ok,,5,5.73436,2226.8011690001003,1.146,0.48,2026-05-28T17:21:50+00:00
12421862,1,ok,,3,10.2152025,1356.3718639998697,2.3476219,0.47,2026-05-28T17:21:51+00:00
13023738,0,ok,,4,8.0635,2104.8723200000823,3.396,0.5,2026-05-28T17:21:51+00:00
14336130,1,ok,,4,8.082354,3298.678071000148,3.284,0.5,2026-05-28T17:21:52+00:00
15247229,0,ok,,3,8.5112,1687.192530000117,3.486,0.45,2026-05-28T17:21:52+00:00
15565627,0,no_global_pt,no existe data\processed\global/15565627.pt,0,,,,0.0,2026-05-28T17:21:52+00:00
15682927,0,ok,,27,0.9655766,2823.1597170000896,1.224,0.47,2026-05-28T17:21:53+00:00
15692883,1,ok,,6,5.147905,3602.6323710000142,5.405,0.44,2026-05-28T17:21:53+00:00
15827263,0,ok,,7,3.9525732,3505.209664999973,2.378,0.46,2026-05-28T17:21:54+00:00
16005254,1,ok,,7,3.7927572,2522.8252099999227,1.47,0.46,2026-05-28T17:21:54+00:00
16102323,0,no_global_pt,no existe data\processed\global/16102323.pt,0,,,,0.0,2026-05-28T17:21:54+00:00
16187321,0,ok,,6,4.2021893,2813.403681000229,2.742,0.47,2026-05-28T17:21:54+00:00
17005768,0,ok,,4,6.8424983,1765.2651160000823,3.3079378,0.47,2026-05-28T17:21:55+00:00
17129975,0,ok,,18,1.5142292,3340.479241999797,1.7190416,0.48,2026-05-28T17:21:55+00:00
17150865,0,ok,,28,0.8706763,3232.4127650000155,1.007,0.47,2026-05-28T17:21:56+00:00
17416749,0,ok,,7,2.34483,1956.568940000143,1.417,0.47,2026-05-28T17:21:56+00:00
17865622,1,ok,,9,3.1198404,2826.736428000033,1.7646723,0.46,2026-05-28T17:21:57+00:00
18017227,0,ok,,46,0.6203033,2634.7708840002306,1.031,0.48,2026-05-28T17:21:57+00:00
18318288,1,ok,,18,1.3888584,1984.759724999778,0.8267002,0.47,2026-05-28T17:21:58+00:00
18574158,0,no_global_pt,no existe data\processed\global/18574158.pt,0,,,,0.0,2026-05-28T17:21:58+00:00
19155785,0,ok,,8,3.1442556,3254.3506519999355,1.81,0.46,2026-05-28T17:21:58+00:00
19342878,1,ok,,19,1.3328252,2963.429938000161,2.0496174,0.46,2026-05-28T17:21:59+00:00
20178111,0,ok,,15,1.734422,2198.7023999998346,2.32,0.48,2026-05-28T17:21:59+00:00
20182165,0,ok,,3,9.7815625,2680.305817999877,3.736,0.45,2026-05-28T17:22:00+00:00
20182780,1,ok,,6,4.3533211,2715.022491000127,1.894,0.45,2026-05-28T17:22:00+00:00
20892672,0,no_global_pt,no existe data\processed\global/20892672.pt,0,,,,0.0,2026-05-28T17:22:00+00:00
20988926,0,ok,,5,5.3194765,2791.246451999992,4.653,0.46,2026-05-28T17:22:00+00:00
21535395,1,ok,,10,2.8009915,1871.4885660000143,1.4985399,0.45,2026-05-28T17:22:01+00:00
21755546,0,ok,,43,0.660179,2420.415266999975,1.6349369,0.47,2026-05-28T17:22:01+00:00
21832928,1,ok,,1,16.3413889,1987.266354000196,5.3764481,0.47,2026-05-28T17:22:02+00:00
22020459,0,ok,,20,1.3328042,2988.479582999833,2.75,0.46,2026-05-28T17:22:02+00:00
22221375,1,ok,,7,3.9846589,3013.591732999776,2.146,0.45,2026-05-28T17:22:03+00:00
22233480,1,ok,,4,7.4463034,2396.409578000196,2.0033138,0.5,2026-05-28T17:22:03+00:00
22843856,0,ok,,14,1.8497201,2521.61863300018,1.757,0.54,2026-05-28T17:22:04+00:00
23113034,0,ok,,15,1.7134571,3256.3424089998007,1.433,0.5,2026-05-28T17:22:04+00:00
23389848,0,ok,,1,15.64643,2014.3685400001705,7.75,0.6,2026-05-28T17:22:05+00:00
23434737,1,ok,,1,25.5195307,1553.06211599987,6.6877451,0.61,2026-05-28T17:22:06+00:00
23650642,0,ok,,24,1.12355,1843.380289999768,1.611,0.54,2026-05-28T17:22:06+00:00
23769326,1,ok,,4,7.4332642,2682.831970000174,3.051,0.57,2026-05-28T17:22:07+00:00
23863106,0,no_global_pt,no existe data\processed\global/23863106.pt,0,,,,0.0,2026-05-28T17:22:07+00:00
24094603,0,no_global_pt,no existe data\processed\global/24094603.pt,0,,,,0.0,2026-05-28T17:22:07+00:00
24358417,1,ok,,1,22.6539607,2183.680680000223,3.468,0.57,2026-05-28T17:22:07+00:00
24364065,0,ok,,7,4.05135,1686.846960000228,2.4,0.49,2026-05-28T17:22:08+00:00
25624952,0,no_global_pt,no existe data\processed\global/25624952.pt,0,,,,0.0,2026-05-28T17:22:08+00:00
26054627,1,ok,,8,3.3176675,2521.8138259998523,1.796,0.46,2026-05-28T17:22:08+00:00
26433869,0,no_global_pt,no existe data\processed\global/26433869.pt,0,,,,0.0,2026-05-28T17:22:08+00:00
26547036,1,period_too_long,period=1134.672d > 27.4d,0,1134.6723963,2846.97728500003,8.6844623,0.0,2026-05-28T17:22:08+00:00
26583436,0,ok,,4,6.1429164,2851.702422000002,4.475,0.45,2026-05-28T17:22:09+00:00
27064468,1,ok,,5,5.4589863,3282.114506999962,3.39,0.47,2026-05-28T17:22:09+00:00
27064468,1,ok,,5,5.4589863,3282.114506999962,3.39,0.5,2026-05-28T17:22:10+00:00
27244707,0,ok,,16,1.6882863,1838.1801939997824,2.636,0.49,2026-05-28T17:22:10+00:00
27491137,1,period_too_long,period=35.126d > 27.4d,0,35.1257472,2675.932510000188,2.839,0.0,2026-05-28T17:22:10+00:00
27491137,1,period_too_long,period=35.126d > 27.4d,0,35.1257472,2675.932510000188,2.839,0.0,2026-05-28T17:22:10+00:00
27491137,1,period_too_long,period=35.126d > 27.4d,0,35.1257472,2675.932510000188,2.839,0.0,2026-05-28T17:22:10+00:00
27649847,1,ok,,16,1.5428486,1492.7164110001177,1.1958898,0.48,2026-05-28T17:22:11+00:00
27677846,0,no_global_pt,no existe data\processed\global/27677846.pt,0,,,,0.0,2026-05-28T17:22:11+00:00
27844066,0,ok,,14,1.8532983,1732.821053000167,1.197,0.48,2026-05-28T17:22:11+00:00
28643432,0,ok,,12,2.2751393,2418.2213309998624,2.087,0.47,2026-05-28T17:22:11+00:00
28873762,0,ok,,7,3.105654,2518.690795000177,1.999,0.47,2026-05-28T17:22:12+00:00
28900646,1,ok,,38,0.6691449,2910.938093000092,0.9921631,0.45,2026-05-28T17:22:12+00:00
29117085,0,ok,,2,13.247777,1846.9933950002303,3.301,0.49,2026-05-28T17:22:13+00:00
29191624,1,ok,,2,14.6503935,2635.1165240001865,2.08,0.5,2026-05-28T17:22:13+00:00
29336129,0,ok,,16,1.6363822,2989.636227999814,5.2796046,0.5,2026-05-28T17:22:14+00:00
29374525,0,ok,,7,3.813812,2545.2967260000296,2.572,0.51,2026-05-28T17:22:14+00:00
29781292,1,period_too_long,period=31.323d > 27.4d,0,31.32312,2044.8259299998167,1.541,0.0,2026-05-28T17:22:14+00:00
29781292,1,period_too_long,period=31.323d > 27.4d,0,31.32312,2044.8259299998167,1.541,0.0,2026-05-28T17:22:14+00:00
29781292,1,period_too_long,period=31.323d > 27.4d,0,31.32312,2044.8259299998167,1.541,0.0,2026-05-28T17:22:14+00:00
29830212,0,no_global_pt,no existe data\processed\global/29830212.pt,0,,,,0.0,2026-05-28T17:22:14+00:00
29857954,1,ok,,3,9.47686,1326.9224200001918,4.392,0.5,2026-05-28T17:22:15+00:00
29959761,0,no_global_pt,no existe data\processed\global/29959761.pt,0,,,,0.0,2026-05-28T17:22:15+00:00
29960109,0,ok,,10,2.49221,1411.6694200001657,1.605,1.08,2026-05-28T17:22:16+00:00
29960110,1,ok,,10,2.4919771,1411.670876999851,1.4338141,0.73,2026-05-28T17:22:17+00:00
30312676,0,ok,,25,1.10223,2126.7691999999806,2.598,0.48,2026-05-28T17:22:17+00:00
30329585,0,ok,,4,7.5022708,2437.5494789998047,2.605,0.45,2026-05-28T17:22:18+00:00
31114545,0,no_global_pt,no existe data\processed\global/31114545.pt,0,,,,0.0,2026-05-28T17:22:18+00:00
31268146,0,ok,,6,3.6473383,3013.4573820000514,4.4572847,0.5,2026-05-28T17:22:18+00:00
31374837,1,ok,,53,0.4900589,1438.3759650001302,1.0123328,0.5,2026-05-28T17:22:19+00:00
31374837,1,ok,,53,0.4900589,1438.3759650001302,1.0123328,0.5,2026-05-28T17:22:19+00:00
31656385,0,ok,,2,22.84518,2073.995620000176,7.215,0.6,2026-05-28T17:22:20+00:00
31697707,0,ok,,6,3.910946,2059.767349000089,3.28,0.56,2026-05-28T17:22:20+00:00
31858844,0,ok,,9,2.9776152,1655.579241000116,3.25697,1.04,2026-05-28T17:22:21+00:00
32283946,0,ok,,4,7.06181,1389.002400000114,5.853,0.75,2026-05-28T17:22:22+00:00
32408928,0,no_global_pt,no existe data\processed\global/32408928.pt,0,,,,0.0,2026-05-28T17:22:22+00:00
32830028,0,ok,,50,0.516278,1468.3444150001742,0.565611,0.51,2026-05-28T17:22:23+00:00
33091633,0,ok,,4,7.52118,1495.713359999936,6.133,0.54,2026-05-28T17:22:23+00:00
33153766,0,ok,,37,0.68831,1544.6037699999288,1.365,0.48,2026-05-28T17:22:24+00:00
33595516,1,ok,,72,0.76566,1384.019559999928,1.452,0.48,2026-05-28T17:22:24+00:00
33690636,0,ok,,5,4.99915,1468.9544999999923,5.256,0.53,2026-05-28T17:22:25+00:00
33692729,1,ok,,2,13.6308024,1474.5695810001343,4.3426564,0.49,2026-05-28T17:22:25+00:00
33878688,0,period_too_long,period=79.374d > 27.4d,0,79.3739596,2187.361316999886,5.392,0.0,2026-05-28T17:22:25+00:00
34068865,1,ok,,78,0.3219233,3013.713099999819,0.199,0.47,2026-05-28T17:22:26+00:00
34077285,1,ok,,2,14.3318853,2220.659690999892,1.596,0.46,2026-05-28T17:22:26+00:00
34466256,0,no_global_pt,no existe data\processed\global/34466256.pt,0,,,,0.0,2026-05-28T17:22:26+00:00
34505005,0,ok,,6,5.1627718,2302.4341830001213,3.139,0.48,2026-05-28T17:22:27+00:00
34551972,0,ok,,5,4.8542148,2885.44622900011,5.588206,0.47,2026-05-28T17:22:27+00:00
35009898,1,ok,,17,1.5275639,1543.4337309999391,1.3727055,0.47,2026-05-28T17:22:27+00:00
35315453,0,ok,,13,2.0340967,3119.03110399982,3.397,0.47,2026-05-28T17:22:28+00:00
35377903,0,ok,,9,2.9937587,2797.5747099998407,4.6961883,0.46,2026-05-28T17:22:28+00:00
35883621,0,no_global_pt,no existe data\processed\global/35883621.pt,0,,,,0.0,2026-05-28T17:22:28+00:00
36574157,0,no_global_pt,no existe data\processed\global/36574157.pt,0,,,,0.0,2026-05-28T17:22:28+00:00
36724087,1,ok,,34,0.7683904,2988.468158000149,1.0241242,0.47,2026-05-28T17:22:29+00:00
36724087,1,ok,,34,0.7683904,2988.468158000149,1.0241242,0.56,2026-05-28T17:22:29+00:00
37084932,0,ok,,3,6.58454,1470.644309999887,3.395,0.51,2026-05-28T17:22:30+00:00
37242226,0,no_global_pt,no existe data\processed\global/37242226.pt,0,,,,0.0,2026-05-28T17:22:30+00:00
37575651,0,ok,,2,9.5971977,1521.9092890000902,2.9439152,0.58,2026-05-28T17:22:31+00:00
37749396,1,ok,,2,13.4758478,1392.2940179998986,2.0643913,0.59,2026-05-28T17:22:31+00:00
37770169,1,ok,,2,12.1914558,1474.494915000163,3.3188127,0.59,2026-05-28T17:22:32+00:00
38686737,0,ok,,11,2.24704,1439.9796099998057,2.713,0.58,2026-05-28T17:22:32+00:00
39077574,0,ok,,4,7.1404043,2629.9572959998623,1.719,0.36,2026-05-28T17:22:33+00:00
39414571,1,ok,,6,4.0197555,2227.0444470001385,2.688,0.39,2026-05-28T17:22:33+00:00
39699648,1,ok,,4,6.5273884,1875.9975319998337,3.1190657,0.56,2026-05-28T17:22:34+00:00
40055053,1,ok,,7,4.1793301,2444.9021089999005,5.161,0.51,2026-05-28T17:22:34+00:00
40292751,1,ok,,2,12.7791964,3319.524904999882,5.242,0.46,2026-05-28T17:22:35+00:00
40779013,0,ok,,16,1.7113115,1708.8918570000678,1.562,0.46,2026-05-28T17:22:35+00:00
40954422,0,ok,,15,1.7578288,3336.4839130002074,3.218,0.45,2026-05-28T17:22:35+00:00
41227743,0,ok,,20,1.4188153,1326.243939000182,4.5754288,0.46,2026-05-28T17:22:36+00:00
41330864,0,ok,,13,2.1358631,3363.632023999933,1.559,0.51,2026-05-28T17:22:36+00:00
41422753,0,ok,,11,2.4710528,2792.2101909997878,3.033,1.74,2026-05-28T17:22:38+00:00
41865539,0,no_global_pt,no existe data\processed\global/41865539.pt,0,,,,0.0,2026-05-28T17:22:38+00:00
41875043,0,no_global_pt,no existe data\processed\global/41875043.pt,0,,,,0.0,2026-05-28T17:22:38+00:00
42015200,0,ok,,2,9.77742,1391.6631800001487,6.713,1.05,2026-05-28T17:22:39+00:00
42123111,0,ok,,7,4.03349,1686.467100000009,2.684,0.51,2026-05-28T17:22:40+00:00
42755801,0,ok,,6,4.3433389,2225.90133399982,4.514,0.52,2026-05-28T17:22:40+00:00
42883782,1,ok,,4,6.3346129,2788.410947999917,3.341,0.54,2026-05-28T17:22:41+00:00
42883782,1,ok,,4,6.3346129,2788.410947999917,3.341,0.54,2026-05-28T17:22:41+00:00
44737596,1,ok,,10,2.788654,1413.0604349998755,1.8900186,0.52,2026-05-28T17:22:42+00:00
44745077,0,ok,,15,1.8756,1411.7027099998668,0.989,0.57,2026-05-28T17:22:42+00:00
44792534,1,ok,,7,3.68497,2167.324829999823,4.536,0.6,2026-05-28T17:22:43+00:00
44898913,1,ok,,9,2.7299049,1413.191881999839,0.8257288,0.6,2026-05-28T17:22:44+00:00
45684223,0,ok,,5,6.5832019,2323.3404640001245,3.135,0.55,2026-05-28T17:22:44+00:00
46772529,0,ok,,3,10.6332248,3011.847823999822,3.436,0.5,2026-05-28T17:22:45+00:00
47484268,0,no_metadata,"TIC no tiene TOI con (period, epoch, duration) válidos",0,,,,0.0,2026-05-28T17:22:45+00:00
47617038,0,ok,,9,3.3513304,2358.397241999861,2.739,0.46,2026-05-28T17:22:45+00:00
48103627,1,ok,,6,4.5696698,2283.031578999944,3.9536171,0.51,2026-05-28T17:22:46+00:00
48178229,0,no_global_pt,no existe data\processed\global/48178229.pt,0,,,,0.0,2026-05-28T17:22:46+00:00
48188920,0,ok,,36,0.73774,1683.9470700002275,0.636,0.51,2026-05-28T17:22:46+00:00
48276576,0,ok,,35,0.8334976,2989.054750999901,1.452144,0.45,2026-05-28T17:22:47+00:00
48476907,0,ok,,6,4.7192734,3030.2730319998227,1.301,0.46,2026-05-28T17:22:47+00:00
49043968,1,ok,,4,6.2462252,3017.8585259998217,4.2508361,0.47,2026-05-28T17:22:48+00:00
49254857,1,ok,,2,10.5988743,2317.272696999833,1.638,0.45,2026-05-28T17:22:48+00:00
49428710,1,ok,,2,12.2193392,2527.296517000068,4.8876935,0.46,2026-05-28T17:22:48+00:00
49617263,0,no_global_pt,no existe data\processed\global/49617263.pt,0,,,,0.0,2026-05-28T17:22:48+00:00
49705089,1,ok,,3,9.6578504,2226.011756000109,5.943,0.47,2026-05-28T17:22:49+00:00
49710555,0,ok,,2,12.08837,2109.092000000179,3.106,0.46,2026-05-28T17:22:49+00:00
49899799,0,ok,,3,7.0114,2163.414770000149,4.8,0.54,2026-05-28T17:22:50+00:00
49967354,0,ok,,26,1.09333,2010.861120000016,1.975,0.54,2026-05-28T17:22:50+00:00
50309953,0,ok,,4,7.04083,2083.351679999847,2.979,0.56,2026-05-28T17:22:51+00:00
50365310,0,ok,,12,2.1713484,2229.630045999773,2.0172196,0.51,2026-05-28T17:22:52+00:00
50618703,1,ok,,14,1.5483542,1469.7569829998538,1.2030925,0.58,2026-05-28T17:22:52+00:00
50943163,0,no_global_pt,no existe data\processed\global/50943163.pt,0,,,,0.0,2026-05-28T17:22:52+00:00
51024887,0,ok,,3,8.2491871,1797.3449980001897,4.9807847,0.48,2026-05-28T17:22:53+00:00
51318828,0,no_global_pt,no existe data\processed\global/51318828.pt,0,,,,0.0,2026-05-28T17:22:53+00:00
51637609,1,ok,,9,2.709631,2849.075691999868,3.282,0.63,2026-05-28T17:22:53+00:00
52005579,1,ok,,3,12.7614706,2458.9005350000225,1.0497761,0.6,2026-05-28T17:22:54+00:00
52041724,0,period_too_long,period=35.403d > 27.4d,0,35.4028219,1942.4222740000116,4.221,0.0,2026-05-28T17:22:54+00:00
52368076,1,ok,,3,9.1549418,3202.049893000163,2.457,0.55,2026-05-28T17:22:54+00:00
52368076,1,ok,,3,9.1549418,3202.049893000163,2.457,0.57,2026-05-28T17:22:55+00:00
52368076,1,ok,,3,9.1549418,3202.049893000163,2.457,0.57,2026-05-28T17:22:56+00:00
52548453,0,ok,,5,5.2146757,3686.11009400012,4.9830634,0.62,2026-05-28T17:22:56+00:00
53427308,0,ok,,5,5.80322,1844.7653999999168,1.569,0.57,2026-05-28T17:22:57+00:00
53498154,1,ok,,8,3.3903593,3361.102632000111,2.168,0.49,2026-05-28T17:22:57+00:00
53498154,1,ok,,8,3.3903593,3361.102632000111,2.168,0.51,2026-05-28T17:22:58+00:00
53498154,1,ok,,8,3.3903593,3361.102632000111,2.168,0.51,2026-05-28T17:22:58+00:00
53498154,1,ok,,8,3.3903593,3361.102632000111,2.168,0.52,2026-05-28T17:22:59+00:00
53593457,0,ok,,49,0.530893,1468.332101999782,1.910177,0.52,2026-05-28T17:22:59+00:00
54044474,0,ok,,7,3.7039994,2301.5441259997897,4.277,0.49,2026-05-28T17:23:00+00:00
54085154,0,ok,,26,1.0014437,3037.4524610000663,1.28,0.48,2026-05-28T17:23:00+00:00
54364414,0,no_global_pt,no existe data\processed\global/54364414.pt,0,,,,0.0,2026-05-28T17:23:00+00:00
54390047,0,ok,,27,0.941436,2229.569560999982,1.3606996,0.48,2026-05-28T17:23:01+00:00
54464870,0,no_global_pt,no existe data\processed\global/54464870.pt,0,,,,0.0,2026-05-28T17:23:01+00:00
54962195,1,ok,,10,2.5989031,1544.387711000163,1.6635706,0.45,2026-05-28T17:23:01+00:00
54962195,1,ok,,10,2.5989031,1544.387711000163,1.6635706,0.46,2026-05-28T17:23:02+00:00
54962195,1,ok,,10,2.5989031,1544.387711000163,1.6635706,0.48,2026-05-28T17:23:02+00:00
55383975,0,period_too_long,period=48.051d > 27.4d,0,48.0511988,1366.7720139999874,4.3070574,0.0,2026-05-28T17:23:02+00:00
55390413,0,no_global_pt,no existe data\processed\global/55390413.pt,0,,,,0.0,2026-05-28T17:23:02+00:00
55452495,0,ok,,2,17.7082945,3108.1088609998114,3.449,0.49,2026-05-28T17:23:03+00:00
55525572,1,period_too_long,period=83.896d > 27.4d,0,83.8962434,2125.846913000103,13.0330846,0.0,2026-05-28T17:23:03+00:00
55650590,1,ok,,38,0.7363132,1325.5425359997898,0.6736853,0.45,2026-05-28T17:23:03+00:00
55652896,1,ok,,1,17.3890454,2340.9047190002166,2.6516541,0.45,2026-05-28T17:23:03+00:00
55652896,1,ok,,1,17.3890454,2340.9047190002166,2.6516541,0.45,2026-05-28T17:23:04+00:00
56231866,0,ok,,9,2.7218347,3605.4957960001193,1.663,0.55,2026-05-28T17:23:04+00:00
56658270,1,ok,,3,8.8349261,2475.6157579999417,6.2442811,0.5,2026-05-28T17:23:05+00:00
58046864,0,ok,,11,2.3651663,1680.4761000000872,2.462,0.33,2026-05-28T17:23:05+00:00
58474992,0,ok,,1,25.714253,3195.279657999985,6.373,0.54,2026-05-28T17:23:06+00:00
58542531,1,ok,,9,3.057524,1816.411524000112,1.3790503,0.53,2026-05-28T17:23:06+00:00
58824746,1,ok,,3,10.2829583,2449.3535629999824,3.5348916,0.55,2026-05-28T17:23:07+00:00
58825110,1,ok,,5,5.8588751,2494.147011999972,3.581,0.55,2026-05-28T17:23:07+00:00
59003115,0,ok,,12,2.294185,1439.0759000000544,2.750763,1.43,2026-05-28T17:23:09+00:00
59859387,0,ok,,24,1.1203828,2987.2073869998567,1.665,0.81,2026-05-28T17:23:10+00:00
60074373,0,ok,,8,3.190373,2276.406959000044,2.684,0.68,2026-05-28T17:23:10+00:00
61117473,0,ok,,4,6.1836211,3073.821502999868,2.5436374,0.85,2026-05-28T17:23:11+00:00
61733521,0,no_global_pt,no existe data\processed\global/61733521.pt,0,,,,0.0,2026-05-28T17:23:11+00:00
61980227,0,ok,,8,3.0958985,2064.594291999936,1.8584684,0.47,2026-05-28T17:23:12+00:00
62483237,1,ok,,2,11.0708575,1334.8915630001577,2.1937617,0.53,2026-05-28T17:23:12+00:00
62530991,0,ok,,7,4.0266483,2986.942214000039,2.312,0.52,2026-05-28T17:23:13+00:00
63013648,0,ok,,1,19.6304978,2516.5342720001936,3.2073832,0.78,2026-05-28T17:23:14+00:00
63303499,0,ok,,14,1.9271328,2202.2959870002232,4.5530077,0.97,2026-05-28T17:23:15+00:00
63898957,1,ok,,8,3.3639254,1383.915624000132,3.3430495,0.78,2026-05-28T17:23:15+00:00
63898957,1,ok,,8,3.3639254,1383.915624000132,3.3430495,0.69,2026-05-28T17:23:16+00:00
64531556,0,ok,,3,7.8127906,2813.939921000041,6.304,0.73,2026-05-28T17:23:17+00:00
64553698,0,no_global_pt,no existe data\processed\global/64553698.pt,0,,,,0.0,2026-05-28T17:23:17+00:00
64836837,0,ok,,2,10.9115374,3423.070964000188,3.269,0.74,2026-05-28T17:23:17+00:00
65347776,0,ok,,1,25.86696,2133.371210000012,4.923,0.88,2026-05-28T17:23:18+00:00
65412605,1,ok,,6,4.4010465,2980.873931000009,4.757,0.82,2026-05-28T17:23:19+00:00
66356824,0,ok,,8,3.55562,2109.392159999814,1.838,0.78,2026-05-28T17:23:20+00:00
66561343,1,ok,,2,10.6265837,2219.5520739997737,5.415,0.86,2026-05-28T17:23:21+00:00
66783360,0,ok,,19,1.3812787,2881.306319999974,2.4,0.7,2026-05-28T17:23:22+00:00
67247610,0,ok,,13,1.9740614,3340.791703999974,2.1627229,0.75,2026-05-28T17:23:22+00:00
67309890,0,no_global_pt,no existe data\processed\global/67309890.pt,0,,,,0.0,2026-05-28T17:23:22+00:00
67512645,1,ok,,7,3.3706303,2639.258653999772,1.5183944,0.84,2026-05-28T17:23:23+00:00
67926921,0,ok,,8,3.566276,2606.849595999811,4.197,0.71,2026-05-28T17:23:24+00:00
68007716,1,ok,,5,5.4566563,2244.752232000232,3.783,0.5,2026-05-28T17:23:24+00:00
68152139,0,no_global_pt,no existe data\processed\global/68152139.pt,0,,,,0.0,2026-05-28T17:23:24+00:00
68322189,0,ok,,21,1.2833689,2385.759711999912,2.592,0.7,2026-05-28T17:23:25+00:00
69356857,1,ok,,6,4.0966887,2440.0699909999967,4.557,0.78,2026-05-28T17:23:26+00:00
69672493,0,ok,,17,1.4920726,3257.0967649999075,1.594,0.85,2026-05-28T17:23:27+00:00
69838258,0,no_global_pt,no existe data\processed\global/69838258.pt,0,,,,0.0,2026-05-28T17:23:27+00:00
69997672,0,ok,,16,1.80709,1684.2349000000395,3.297,0.83,2026-05-28T17:23:27+00:00
70513361,1,ok,,2,11.1452784,2136.5762579999864,1.3947705,0.84,2026-05-28T17:23:28+00:00
